episode,score,max_tile
6,1140,128
2,1372,128
1,664,64
8,1372,128
7,1016,128
5,1392,128
4,1484,128
3,3112,256
12,784,64
9,636,64
16,656,64
10,1052,128
14,1316,128
11,2284,256
15,1360,128
13,3028,256
18,568,64
21,628,64
19,1436,128
17,2176,256
20,1072,128
22,1324,128
25,280,32
24,1416,128
23,1964,256
29,684,64
26,3032,256
27,1356,128
28,1220,128
30,1280,128
31,1296,128
32,2484,256
33,2368,256
34,624,64
36,628,64
37,668,64
35,2476,256
38,1476,128
41,716,64
39,1280,128
40,1056,128
42,1304,128
44,584,64
43,2360,256
47,648,64
46,1288,128
45,1576,128
48,1524,128
49,2236,256
50,1120,128
52,696,64
53,588,64
51,1480,128
54,788,64
55,1304,128
57,1464,128
56,2812,256
59,1308,128
58,2204,256
60,1092,128
61,1300,128
62,1628,128
63,1292,128
64,1320,128
66,1432,128
68,1448,128
67,1196,128
65,2748,256
69,1764,128
70,1092,128
75,528,64
71,2912,256
72,2324,256
74,2972,256
73,1196,128
76,1348,128
77,1884,128
78,928,128
80,1520,128
81,1600,128
84,568,64
82,632,64
83,624,64
79,2380,256
86,1320,128
85,1456,128
88,344,32
91,592,64
87,1388,128
89,1004,128
90,1336,128
92,1412,128
94,2544,256
95,1068,128
93,4660,512
96,1536,128
97,1152,128
98,1120,128
100,1276,128
99,2124,256
103,584,64
101,1424,128
104,1532,128
102,1328,128
105,2896,256
106,1032,128
107,1332,128
108,1388,128
111,636,64
109,1072,128
112,2100,256
110,2340,256
113,2432,256
114,1348,128
116,1640,128
117,1204,128
115,2168,256
118,1552,128
119,1440,128
120,892,128
123,652,64
121,1584,128
122,1264,128
124,1476,128
126,1376,128
125,2788,256
127,1536,128
128,2348,256
129,1564,128
131,1336,128
130,1364,128
